age,c_charge_degree,age_cat,sex,priors_count,days_b_screening_arrest,length_of_stay,c_days_from_compas,juv_other_count,juv_fel_count,juv_misd_count,race,two_year_recid
27,F,25 - 45,Male,6,0,30,0,0,0,1,African-American,1
33,M,25 - 45,Male,0,-1,1,1,0,0,0,Other,0
56,M,Greater than 45,Female,0,0,3,1,0,0,0,African-American,0
45,F,Greater than 45,Male,6,-1,242,1,0,0,0,Hispanic,1
22,F,Less than 25,Male,1,-1,1,1,0,0,0,Hispanic,0
39,M,25 - 45,Male,1,-1,5,1,0,0,0,African-American,0
29,F,25 - 45,Male,5,0,1,0,0,0,0,African-American,1
27,F,25 - 45,Male,1,-1,14,1,1,0,0,Caucasian,1
40,F,25 - 45,Male,2,-15,3,15,0,0,0,African-American,0
22,M,Less than 25,Male,1,0,17,1,0,0,0,African-American,1
22,F,Less than 25,Male,0,-1,58,1,0,0,0,Caucasian,0
26,F,25 - 45,Female,1,-1,2,1,0,0,0,African-American,1
32,F,25 - 45,Male,0,-1,1,1,0,0,0,African-American,0
41,M,25 - 45,Male,1,-1,2,5185,0,0,0,African-American,0
30,M,25 - 45,Male,8,-1,1,1,0,0,0,African-American,1
50,F,Greater than 45,Male,0,-1,1,1,0,0,0,Other,1
25,F,25 - 45,Male,14,-1,7,1,1,1,6,African-American,1
20,F,Less than 25,Male,0,-1,1,1,0,0,0,Other,1
22,F,Less than 25,Male,2,0,30,0,0,1,0,African-American,1
35,M,25 - 45,Female,1,-1,1,1,0,0,0,African-American,0
36,F,25 - 45,Male,9,0,4,1,0,0,0,African-American,1
26,F,25 - 45,Male,7,0,0,1,0,0,0,Caucasian,1
21,F,Less than 25,Male,1,0,4,1,0,0,0,Other,1
25,F,25 - 45,Male,9,-1,1,1,0,0,0,Caucasian,1
20,F,Less than 25,Female,0,-1,1,1,0,0,0,Caucasian,0
39,F,25 - 45,Male,2,-2,0,3,0,0,0,Caucasian,1
54,M,Greater than 45,Female,0,0,0,1,0,0,0,Caucasian,0
44,M,25 - 45,Female,0,-2,1,2,0,0,0,Hispanic,0
19,M,Less than 25,Male,1,-10,9,10,0,0,0,African-American,1
30,F,25 - 45,Male,1,-1,1,1,0,0,0,African-American,0
39,F,25 - 45,Female,0,-1,2,1,0,0,0,Caucasian,1
24,F,Less than 25,Male,8,-1,12,0,2,0,1,Caucasian,1
30,F,25 - 45,Male,0,-1,6,1,0,0,0,Caucasian,0
31,M,25 - 45,Male,0,-1,39,1,0,0,0,Caucasian,0
39,F,25 - 45,Female,1,-1,107,1,0,0,0,Caucasian,0
43,F,25 - 45,Male,1,-30,1,30,0,0,0,Caucasian,0
21,F,Less than 25,Male,3,-1,6,1,0,0,0,African-American,1
38,M,25 - 45,Male,5,-1,3,1,0,0,0,Caucasian,1
34,F,25 - 45,Male,0,0,15,0,0,0,0,Caucasian,0
33,F,25 - 45,Male,5,0,0,1,0,0,0,African-American,1
37,F,25 - 45,Male,3,0,1,0,0,0,0,African-American,0
42,F,25 - 45,Male,1,0,1,1,0,0,0,Caucasian,1
41,F,25 - 45,Male,10,0,176,0,0,0,1,African-American,1
22,F,Less than 25,Male,0,-1,1,1,0,0,0,African-American,1
33,F,25 - 45,Male,28,-1,2,1,2,0,12,African-American,1
31,M,25 - 45,Male,1,-1,1,1,0,0,0,African-American,0
30,F,25 - 45,Female,1,-1,1,1,0,0,0,Other,0
31,F,25 - 45,Male,13,-1,471,0,0,0,0,Caucasian,1
27,F,25 - 45,Male,3,-1,1,1,0,0,0,African-American,1
52,M,Greater than 45,Male,3,-2,1,2,0,0,0,Caucasian,0
33,F,25 - 45,Male,19,-1,1,1,0,0,0,African-American,1
42,F,25 - 45,Male,6,-4,0,5,0,0,0,Caucasian,0
25,F,25 - 45,Female,2,-1,3,1,0,0,0,Caucasian,0
30,M,25 - 45,Male,1,-20,4,20,0,0,0,Caucasian,0
37,M,25 - 45,Female,2,-1,2,222,0,0,0,Other,0
28,M,25 - 45,Male,0,-1,1,1,0,0,0,Caucasian,1
24,M,Less than 25,Female,0,-1,2,1,0,0,0,African-American,0
29,F,25 - 45,Female,10,-1,7,1,0,0,1,Caucasian,1
44,M,25 - 45,Male,2,0,0,1,0,0,0,Caucasian,1
32,F,25 - 45,Male,3,-1,8,1,0,0,0,African-American,1
31,M,25 - 45,Male,2,-16,15,16,0,0,0,Caucasian,1
31,M,25 - 45,Male,1,-1,1,1,0,0,0,African-American,0
59,F,Greater than 45,Male,1,-1,1,1,0,0,0,Caucasian,1
20,F,Less than 25,Female,1,0,3,0,0,1,0,African-American,0
43,M,25 - 45,Female,0,0,1,0,0,0,0,Caucasian,0
38,F,25 - 45,Male,9,-1,13,1,0,1,1,African-American,1
32,F,25 - 45,Male,11,-2,1,2,0,0,0,African-American,1
33,M,25 - 45,Male,8,-1,1,1,0,0,0,African-American,1
31,F,25 - 45,Female,0,-1,2,1,0,0,0,African-American,1
33,F,25 - 45,Female,7,-1,26,1,0,0,0,African-American,1
27,F,25 - 45,Male,2,-1,1,1,0,0,0,African-American,1
20,F,Less than 25,Female,0,0,0,1,0,0,0,African-American,0
26,M,25 - 45,Female,0,-2,1,2,0,0,0,Caucasian,0
61,F,Greater than 45,Female,1,-1,1,1,0,0,0,African-American,1
52,F,Greater than 45,Male,13,-1,2,1,0,0,0,Other,1
63,F,Greater than 45,Male,1,-26,15,26,0,0,0,Hispanic,0
32,F,25 - 45,Female,4,-7,7,7,0,0,0,African-American,1
29,F,25 - 45,Male,1,-1,1,1,0,0,0,Hispanic,0
26,M,25 - 45,Female,2,-1,1,1,0,0,0,African-American,1
39,M,25 - 45,Male,1,-1,4,1672,0,1,0,Caucasian,0
30,F,25 - 45,Female,3,0,530,1,0,0,0,Caucasian,1
30,F,25 - 45,Male,1,0,70,1,0,0,0,African-American,0
48,M,Greater than 45,Male,2,-1,1,1,0,0,0,Caucasian,0
22,F,Less than 25,Male,1,-1,1,1,0,0,0,African-American,0
46,F,Greater than 45,Male,6,22,23,31,0,0,0,Caucasian,1
31,F,25 - 45,Male,0,0,2,1,0,0,0,Caucasian,0
25,M,25 - 45,Male,1,-1,2,1,0,0,0,African-American,1
23,F,Less than 25,Male,0,-1,0,2,0,0,0,Hispanic,0
32,F,25 - 45,Female,5,-1,1,1,0,0,0,African-American,0
52,M,Greater than 45,Male,2,-1,3,1,0,0,0,Hispanic,0
62,F,Greater than 45,Male,8,0,16,1,0,0,0,African-American,0
31,F,25 - 45,Male,8,29,117,61,0,0,0,Hispanic,1
28,M,25 - 45,Male,6,-1,1,1,0,0,0,African-American,1
54,F,Greater than 45,Male,2,-1,188,1,0,0,0,Hispanic,0
58,F,Greater than 45,Male,0,-1,1,1,0,0,0,Hispanic,0
78,M,Greater than 45,Male,1,-1,1,1,0,0,0,Caucasian,1
56,F,Greater than 45,Male,0,-1,1,1,0,0,0,Caucasian,0
24,F,Less than 25,Male,0,-1,2,1,0,0,0,Other,0
22,F,Less than 25,Male,1,0,0,1,0,0,0,African-American,1
47,M,Greater than 45,Male,23,-1,1,1,0,0,0,African-American,1
23,M,Less than 25,Male,0,-1,1,1,0,0,0,African-American,1
57,F,Greater than 45,Male,1,0,20,0,0,0,0,Hispanic,0
66,F,Greater than 45,Male,3,-10,2,10,0,0,0,African-American,0
45,M,Greater than 45,Male,8,0,71,0,0,0,0,Caucasian,1
37,M,25 - 45,Male,2,0,0,0,0,0,0,African-American,1
39,F,25 - 45,Male,0,0,1,0,0,0,0,Caucasian,1
26,F,25 - 45,Male,9,0,79,1,0,0,0,African-American,1
45,F,Greater than 45,Male,2,-1,359,1,0,0,0,Caucasian,0
23,F,Less than 25,Male,0,-1,1,1,0,0,0,African-American,1
34,M,25 - 45,Male,2,0,26,1,0,0,0,African-American,0
23,M,Less than 25,Female,1,-1,1,1,0,0,0,African-American,0
36,M,25 - 45,Male,2,-1,3,1,0,0,0,Other,1
50,F,Greater than 45,Male,1,-4,2,4,0,0,0,Caucasian,0
37,M,25 - 45,Female,0,-1,0,1,0,0,0,Caucasian,0
44,M,25 - 45,Male,4,0,1,0,0,0,0,Caucasian,0
35,F,25 - 45,Female,23,-1,2,1,0,0,1,African-American,1
24,F,Less than 25,Male,5,-1,1,1,0,0,0,Other,1
26,F,25 - 45,Male,2,-1,1,1,0,0,0,African-American,1
27,M,25 - 45,Male,0,-1,3,1,0,0,0,African-American,0
28,F,25 - 45,Female,0,0,29,1,0,0,0,African-American,0
28,F,25 - 45,Female,7,-1,1,1,0,0,0,Caucasian,1
38,F,25 - 45,Male,2,-1,1,1,0,0,0,African-American,0
28,F,25 - 45,Female,1,-1,39,1,0,0,0,African-American,0
56,F,Greater than 45,Male,7,-1,1,1,0,0,0,Caucasian,1
38,F,25 - 45,Male,15,-1,2,1,0,0,0,African-American,0
28,M,25 - 45,Male,2,-1,1,2147,0,0,0,African-American,0
51,M,Greater than 45,Female,0,-1,1,1,0,0,0,Caucasian,1
51,M,Greater than 45,Male,0,-1,1,1,0,0,0,Caucasian,0
36,M,25 - 45,Male,1,-1,1,1,0,0,0,Other,1
48,F,Greater than 45,Male,0,-1,1,1,0,0,0,African-American,0
37,F,25 - 45,Male,4,0,2,0,0,0,0,Caucasian,1
30,F,25 - 45,Female,2,-1,3,1,0,0,0,African-American,0
41,M,25 - 45,Female,5,0,0,1,0,0,0,African-American,0
27,F,25 - 45,Male,11,-1,223,1,0,0,0,African-American,1
37,M,25 - 45,Male,0,-1,2,1,0,0,0,African-American,0
33,F,25 - 45,Male,4,0,2,1,0,0,0,Other,1
54,F,Greater than 45,Male,11,-1,130,1,0,0,0,African-American,0
23,F,Less than 25,Male,2,-1,72,1,0,0,0,African-American,0
41,M,25 - 45,Male,0,0,1,0,0,0,0,African-American,0
52,F,Greater than 45,Male,0,-1,1,1,0,0,0,Caucasian,0
43,F,25 - 45,Male,13,0,51,1,0,0,0,Caucasian,1
52,F,Greater than 45,Male,0,-1,14,1,0,0,0,African-American,0
28,F,25 - 45,Male,1,-3,3,3,0,0,0,Caucasian,0
30,M,25 - 45,Male,11,-1,1,1,2,0,0,African-American,1
28,F,25 - 45,Male,1,0,6,0,0,0,0,Caucasian,0
22,F,Less than 25,Male,0,-1,1,1,0,0,0,African-American,0
30,F,25 - 45,Male,4,0,0,0,0,0,0,African-American,0
25,F,25 - 45,Male,4,0,1,0,0,0,0,Hispanic,0
31,F,25 - 45,Male,0,-1,31,1,0,0,0,Caucasian,1
37,F,25 - 45,Male,0,-1,35,1,0,0,0,Caucasian,1
32,F,25 - 45,Male,14,-1,1,1,0,0,1,African-American,0
53,M,Greater than 45,Male,1,-1,1,1,0,0,0,Caucasian,0
28,F,25 - 45,Male,25,29,26,70,0,0,0,African-American,1
44,M,25 - 45,Male,8,-1,5,1,0,0,0,Caucasian,1
25,F,25 - 45,Male,0,0,0,1,0,0,0,African-American,0
22,M,Less than 25,Male,1,0,6,0,1,0,0,Caucasian,1
37,M,25 - 45,Female,0,-1,1,2,0,0,0,Other,0
40,F,25 - 45,Female,3,-1,1,1,0,0,0,Other,0
31,M,25 - 45,Female,0,-1,1,1,0,0,0,Hispanic,0
23,F,Less than 25,Male,1,-1,1,1,1,0,0,Hispanic,1
23,F,Less than 25,Female,5,-1,1,1,4,0,0,Caucasian,1
24,M,Less than 25,Male,0,-3,1,3,0,0,0,Hispanic,0
29,M,25 - 45,Male,1,-1,1,1,0,0,0,African-American,0
20,F,Less than 25,Male,1,-1,1,1,0,0,0,African-American,1
30,F,25 - 45,Male,2,-1,2,1,0,0,0,African-American,1
39,F,25 - 45,Male,0,-1,1,1,0,0,0,Other,0
27,F,25 - 45,Male,4,-1,1,1,0,0,0,African-American,0
37,F,25 - 45,Female,2,0,1,0,0,0,0,African-American,0
20,F,Less than 25,Male,0,-1,3,1,0,0,0,African-American,0
22,F,Less than 25,Male,0,0,2,0,1,0,0,Hispanic,0
52,F,Greater than 45,Female,0,-1,1,1,0,0,0,African-American,0
23,F,Less than 25,Female,0,-1,4,1,0,0,0,African-American,1
48,F,Greater than 45,Female,0,-1,2,1,0,0,0,African-American,0
25,F,25 - 45,Male,0,0,0,1,0,0,0,Caucasian,0
27,F,25 - 45,Male,0,-1,2,1,0,0,0,Caucasian,1
30,F,25 - 45,Male,11,0,1,0,0,0,0,African-American,1
22,M,Less than 25,Male,3,-1,1,1,1,0,1,African-American,1
22,F,Less than 25,Female,1,-1,1,1,0,0,0,Caucasian,0
41,M,25 - 45,Female,2,-1,1,1,0,0,0,African-American,0
25,F,25 - 45,Female,0,-1,1,1,0,0,0,Other,0
52,F,Greater than 45,Male,3,0,25,1,0,0,0,African-American,1
43,F,25 - 45,Male,0,-1,41,1,0,0,0,African-American,0
37,F,25 - 45,Male,3,-4,3,4,0,0,0,Caucasian,0
70,M,Greater than 45,Male,1,-13,13,13,0,0,0,Caucasian,0
46,F,Greater than 45,Male,3,-1,14,1,0,0,0,Caucasian,0
21,M,Less than 25,Male,0,-1,1,1,0,0,0,African-American,1
26,M,25 - 45,Male,1,-1,2,1,0,0,0,African-American,1
38,F,25 - 45,Male,3,23,2,82,0,0,0,Hispanic,1
34,M,25 - 45,Male,5,-1,1,1,0,0,0,Caucasian,0
34,M,25 - 45,Male,5,-1,1,1,0,0,0,African-American,0
23,F,Less than 25,Male,0,0,1,1,0,0,0,Caucasian,1
34,F,25 - 45,Male,5,-1,3,1,0,0,0,African-American,1
39,F,25 - 45,Male,6,-1,3,1,0,0,0,African-American,1
24,F,Less than 25,Male,0,-1,1,1,0,0,0,Other,0
58,F,Greater than 45,Male,2,-1,2,1,0,0,0,Caucasian,0
21,M,Less than 25,Female,0,0,1,0,0,0,0,African-American,0
23,M,Less than 25,Male,4,-11,11,11,1,0,0,African-American,1
62,F,Greater than 45,Male,0,0,2,0,0,0,0,Caucasian,0
37,F,25 - 45,Male,5,-1,11,1,0,0,0,Caucasian,0
43,F,25 - 45,Male,2,-1,8,1,0,0,0,Other,1
32,F,25 - 45,Female,5,0,0,2,0,0,0,African-American,0
23,F,Less than 25,Male,0,-1,46,1,0,0,0,Hispanic,0
27,M,25 - 45,Male,0,0,1,1,0,0,0,African-American,0
44,M,25 - 45,Male,0,-1,1,1,0,0,0,Caucasian,1
28,M,25 - 45,Male,3,-1,1,1,0,0,0,Caucasian,1
42,F,25 - 45,Female,0,-3,1,3,0,0,0,Caucasian,0
24,F,Less than 25,Male,9,-1,5,1,0,0,1,Other,1
27,F,25 - 45,Male,0,0,17,0,0,0,0,African-American,0
20,F,Less than 25,Male,0,-1,1,1,0,0,0,African-American,1
51,M,Greater than 45,Female,0,0,1,1,0,0,0,Caucasian,0
56,M,Greater than 45,Male,0,0,1,1,0,0,0,Caucasian,0
29,F,25 - 45,Male,7,-1,1,1,0,0,0,African-American,0
20,F,Less than 25,Male,0,-1,210,1,0,0,0,African-American,1
27,F,25 - 45,Male,8,-1,68,1,0,0,0,Caucasian,0
24,F,Less than 25,Male,2,-1,19,1,0,0,1,African-American,1
53,F,Greater than 45,Male,36,-7,33,7,0,0,0,Caucasian,1
28,M,25 - 45,Male,2,0,1,1,0,0,0,Caucasian,1
21,F,Less than 25,Male,3,-22,22,22,0,0,1,Hispanic,0
36,F,25 - 45,Female,0,-1,12,1,0,0,0,African-American,0
25,M,25 - 45,Female,2,-2,1,2,0,0,0,Caucasian,1
23,M,Less than 25,Female,1,0,0,1,0,0,0,Hispanic,0
28,F,25 - 45,Male,1,-4,1,4,0,0,0,Caucasian,0
21,F,Less than 25,Female,0,-1,1,1,0,0,0,African-American,1
36,M,25 - 45,Male,0,-1,1,1,0,0,0,Caucasian,0
24,F,Less than 25,Male,0,-1,1,1,0,0,0,African-American,0
30,F,25 - 45,Male,1,-1,1,1,0,0,0,Other,1
29,F,25 - 45,Male,0,-1,1,1,0,0,0,African-American,0
30,M,25 - 45,Female,0,0,4,1,0,0,0,Caucasian,0
51,M,Greater than 45,Male,1,-1,1,2,0,0,0,Hispanic,0
32,F,25 - 45,Male,12,-1,2,1,0,0,1,African-American,1
23,F,Less than 25,Male,1,0,1,1,1,0,0,African-American,0
47,F,Greater than 45,Male,3,0,0,0,0,0,0,African-American,0
37,F,25 - 45,Male,0,-1,19,0,0,0,0,Caucasian,0
19,F,Less than 25,Male,2,-1,1,1,0,0,2,African-American,1
27,M,25 - 45,Male,0,-1,2,1,0,0,0,Hispanic,0
39,M,25 - 45,Male,0,-1,1,1,0,0,0,Other,0
21,F,Less than 25,Female,0,0,0,0,2,0,0,Caucasian,0
69,M,Greater than 45,Male,0,-1,1,1,0,0,0,Caucasian,0
21,F,Less than 25,Male,2,-1,2,1,0,0,0,Caucasian,0
26,M,25 - 45,Male,6,0,4,0,1,0,0,African-American,1
22,F,Less than 25,Male,0,-2,0,3,0,0,0,Caucasian,0
23,F,Less than 25,Female,0,-1,1,1,0,0,0,African-American,1
49,F,Greater than 45,Male,3,0,4,1,0,0,0,African-American,0
29,M,25 - 45,Male,2,-1,51,1,1,0,0,African-American,0
60,M,Greater than 45,Female,0,-1,1,1,0,0,0,Caucasian,0
23,F,Less than 25,Male,3,0,0,1,0,2,0,African-American,1
20,F,Less than 25,Female,1,-21,3,21,0,1,0,Other,0
36,F,25 - 45,Male,1,0,95,1,0,0,0,Hispanic,0
30,F,25 - 45,Male,0,0,2,1,0,0,0,Caucasian,0
21,F,Less than 25,Male,1,-1,0,2,0,0,1,African-American,0
22,M,Less than 25,Male,2,-1,1,1,0,0,0,Caucasian,1
21,F,Less than 25,Male,4,-1,220,0,0,0,0,African-American,1
21,F,Less than 25,Male,0,-1,12,1,0,0,0,African-American,1
34,M,25 - 45,Male,1,0,0,0,0,0,0,Caucasian,0
50,M,Greater than 45,Female,1,-1,1,1,0,0,0,Caucasian,1
40,F,25 - 45,Male,0,-1,8,1,0,0,0,Caucasian,1
25,F,25 - 45,Male,7,-1,127,1,0,0,0,African-American,1
53,M,Greater than 45,Female,1,-1,1,1,0,0,0,Caucasian,0
24,F,Less than 25,Female,0,-1,1,1,0,0,0,African-American,0
42,F,25 - 45,Male,1,-12,4,13,0,0,0,African-American,0
28,M,25 - 45,Male,1,-1,2,1,0,0,0,African-American,0
26,F,25 - 45,Male,6,-1,1,1,0,1,1,African-American,1
22,F,Less than 25,Male,4,-1,260,1,0,0,0,African-American,1
21,M,Less than 25,Male,3,-8,6,8,0,0,0,Caucasian,0
37,F,25 - 45,Male,23,-1,17,1,0,0,0,African-American,1
35,F,25 - 45,Male,2,-1,5,1,0,0,0,African-American,0
53,F,Greater than 45,Male,2,-1,1,1,0,0,0,African-American,0
29,F,25 - 45,Male,7,-1,1,1,0,0,0,African-American,0
48,F,Greater than 45,Male,23,-1,361,1,0,1,0,Caucasian,1
52,M,Greater than 45,Female,0,0,0,1,0,0,0,Caucasian,0
27,F,25 - 45,Male,12,-1,32,1,0,0,0,African-American,1
28,F,25 - 45,Male,5,0,51,0,0,0,0,African-American,0
33,M,25 - 45,Male,3,0,0,1,0,0,0,Caucasian,0
28,F,25 - 45,Female,0,-1,2,1,0,0,0,Hispanic,0
36,F,25 - 45,Male,14,-1,1,1,0,0,0,African-American,1
29,F,25 - 45,Male,2,-1,2,1,0,1,0,African-American,0
22,M,Less than 25,Male,0,0,21,0,1,0,0,African-American,1
25,F,25 - 45,Male,0,0,0,1,0,0,0,Caucasian,0
56,F,Greater than 45,Male,5,-1,12,1,0,0,0,African-American,0
27,F,25 - 45,Male,9,-1,52,1,0,0,0,African-American,1
52,F,Greater than 45,Male,4,-1,7,1,0,0,0,Caucasian,1
32,F,25 - 45,Male,3,0,1,1,0,0,0,African-American,0
60,F,Greater than 45,Male,4,-1,1,1,0,0,0,Other,0
23,M,Less than 25,Male,1,-5,5,5,0,0,0,Hispanic,0
39,M,25 - 45,Female,0,-2,1,2,0,0,0,Caucasian,0
56,M,Greater than 45,Male,0,-1,1,1,0,0,0,Caucasian,0
22,F,Less than 25,Female,0,0,0,1,0,0,0,African-American,0
53,F,Greater than 45,Male,11,-1,110,1,0,0,0,African-American,0
25,M,25 - 45,Male,0,0,0,0,0,0,0,Caucasian,1
21,M,Less than 25,Male,0,0,0,0,0,0,0,Hispanic,0
22,F,Less than 25,Male,0,-1,2,1,0,0,0,Caucasian,0
58,M,Greater than 45,Female,2,-23,1,23,0,0,0,Caucasian,0
31,M,25 - 45,Male,7,0,1,1,0,0,0,African-American,1
22,F,Less than 25,Male,1,-1,1,1,0,0,0,Caucasian,1
28,F,25 - 45,Male,8,-1,3,1,0,0,0,African-American,1
42,F,25 - 45,Male,1,-1,2,1,0,0,0,Other,0
20,F,Less than 25,Male,0,0,1,0,0,0,0,African-American,1
29,M,25 - 45,Male,0,0,5,0,0,0,0,Caucasian,1
58,M,Greater than 45,Male,21,-1,59,2,0,0,0,African-American,1
22,F,Less than 25,Male,3,-1,106,1,0,0,0,African-American,0
48,M,Greater than 45,Male,1,0,1,0,0,0,0,Hispanic,1
37,F,25 - 45,Male,0,0,0,0,0,0,0,Caucasian,0
57,F,Greater than 45,Male,1,-1,26,1,0,0,0,African-American,1
27,M,25 - 45,Male,3,-22,0,22,0,0,0,Caucasian,0
26,F,25 - 45,Male,3,0,33,0,0,0,0,African-American,0
24,F,Less than 25,Male,3,0,0,0,1,0,1,Caucasian,1
33,F,25 - 45,Male,0,-1,1,1,0,0,0,Caucasian,0
29,F,25 - 45,Male,2,-1,1,1,0,0,0,African-American,0
24,F,Less than 25,Female,3,-1,1,1,0,0,0,African-American,1
19,F,Less than 25,Male,1,-1,32,1,1,0,0,Caucasian,1
36,M,25 - 45,Male,2,-1,1,1,0,0,0,Caucasian,0
24,F,Less than 25,Female,0,0,0,1,0,0,0,Caucasian,0
34,M,25 - 45,Male,0,0,0,0,0,0,0,Caucasian,0
25,F,25 - 45,Male,2,-1,1,1,0,0,0,Hispanic,1
20,F,Less than 25,Male,1,-1,1,1,1,1,0,African-American,1
24,M,Less than 25,Male,1,-1,2,1,0,0,0,African-American,1
61,F,Greater than 45,Male,4,-1,2,1,0,0,0,Caucasian,0
50,F,Greater than 45,Female,3,0,0,1,0,0,0,African-American,0
30,M,25 - 45,Male,1,0,4,1,0,0,0,African-American,0
38,F,25 - 45,Male,5,-1,1,1,0,0,0,African-American,0
24,M,Less than 25,Male,0,-1,1,1,0,0,0,Caucasian,0
46,F,Greater than 45,Female,2,-1,10,1,0,0,0,African-American,1
41,M,25 - 45,Male,0,-1,4,1,0,0,0,Caucasian,1
20,F,Less than 25,Male,0,-1,22,1,1,0,0,Other,1
27,M,25 - 45,Male,13,-1,1,1,0,0,0,African-American,1
26,M,25 - 45,Male,1,-1,13,1,0,0,0,African-American,1
29,F,25 - 45,Male,3,0,1,0,0,0,0,African-American,1
52,F,Greater than 45,Male,6,-1,2,1,0,0,0,Caucasian,1
28,F,25 - 45,Male,1,0,4,1,0,0,0,Caucasian,1
55,F,Greater than 45,Male,5,-1,119,1,0,0,0,African-American,1
26,F,25 - 45,Male,10,-1,1,1,0,1,1,African-American,1
28,F,25 - 45,Male,5,-1,1,1,0,0,0,African-American,0
63,F,Greater than 45,Male,2,-3,3,3,0,0,0,Caucasian,0
42,F,25 - 45,Male,0,0,1,0,0,0,0,African-American,0
23,F,Less than 25,Male,6,-1,1,1,2,1,2,African-American,0
54,F,Greater than 45,Male,28,-1,6,1,0,0,0,African-American,1
35,F,25 - 45,Male,8,-1,10,1,1,0,0,African-American,1
24,F,Less than 25,Female,6,-1,26,1,0,1,0,African-American,1
54,M,Greater than 45,Male,2,-26,1,26,0,0,0,African-American,0
58,M,Greater than 45,Male,12,-1,4,1,0,0,0,African-American,1
23,M,Less than 25,Male,1,0,0,1,1,0,0,Caucasian,1
