age,priors_count,juv_other_count,juv_fel_count,juv_misd_count,sex,race,two_year_recid
30,11,2,0,0,Male,African-American,1
28,1,0,0,0,Male,Caucasian,0
22,0,0,0,0,Male,African-American,0
30,4,0,0,0,Male,African-American,0
25,4,0,0,0,Male,Hispanic,0
31,0,0,0,0,Male,Caucasian,1
37,0,0,0,0,Male,Caucasian,1
32,14,0,0,1,Male,African-American,0
53,1,0,0,0,Male,Caucasian,0
28,25,0,0,0,Male,African-American,1
44,8,0,0,0,Male,Caucasian,1
25,0,0,0,0,Male,African-American,0
22,1,1,0,0,Male,Caucasian,1
37,0,0,0,0,Female,Other,0
40,3,0,0,0,Female,Other,0
31,0,0,0,0,Female,Hispanic,0
23,1,1,0,0,Male,Hispanic,1
23,5,4,0,0,Female,Caucasian,1
24,0,0,0,0,Male,Hispanic,0
29,1,0,0,0,Male,African-American,0
20,1,0,0,0,Male,African-American,1
30,2,0,0,0,Male,African-American,1
39,0,0,0,0,Male,Other,0
27,4,0,0,0,Male,African-American,0
37,2,0,0,0,Female,African-American,0
20,0,0,0,0,Male,African-American,0
22,0,1,0,0,Male,Hispanic,0
52,0,0,0,0,Female,African-American,0
23,0,0,0,0,Female,African-American,1
48,0,0,0,0,Female,African-American,0
25,0,0,0,0,Male,Caucasian,0
27,0,0,0,0,Male,Caucasian,1
30,11,0,0,0,Male,African-American,1
22,3,1,0,1,Male,African-American,1
22,1,0,0,0,Female,Caucasian,0
41,2,0,0,0,Female,African-American,0
25,0,0,0,0,Female,Other,0
52,3,0,0,0,Male,African-American,1
43,0,0,0,0,Male,African-American,0
37,3,0,0,0,Male,Caucasian,0
70,1,0,0,0,Male,Caucasian,0
46,3,0,0,0,Male,Caucasian,0
21,0,0,0,0,Male,African-American,1
26,1,0,0,0,Male,African-American,1
38,3,0,0,0,Male,Hispanic,1
34,5,0,0,0,Male,Caucasian,0
34,5,0,0,0,Male,African-American,0
23,0,0,0,0,Male,Caucasian,1
34,5,0,0,0,Male,African-American,1
39,6,0,0,0,Male,African-American,1
24,0,0,0,0,Male,Other,0
58,2,0,0,0,Male,Caucasian,0
21,0,0,0,0,Female,African-American,0
23,4,1,0,0,Male,African-American,1
62,0,0,0,0,Male,Caucasian,0
37,5,0,0,0,Male,Caucasian,0
43,2,0,0,0,Male,Other,1
32,5,0,0,0,Female,African-American,0
23,0,0,0,0,Male,Hispanic,0
27,0,0,0,0,Male,African-American,0
44,0,0,0,0,Male,Caucasian,1
28,3,0,0,0,Male,Caucasian,1
42,0,0,0,0,Female,Caucasian,0
24,9,0,0,1,Male,Other,1
27,0,0,0,0,Male,African-American,0
20,0,0,0,0,Male,African-American,1
51,0,0,0,0,Female,Caucasian,0
56,0,0,0,0,Male,Caucasian,0
29,7,0,0,0,Male,African-American,0
20,0,0,0,0,Male,African-American,1
27,8,0,0,0,Male,Caucasian,0
24,2,0,0,1,Male,African-American,1
53,36,0,0,0,Male,Caucasian,1
28,2,0,0,0,Male,Caucasian,1
21,3,0,0,1,Male,Hispanic,0
36,0,0,0,0,Female,African-American,0
25,2,0,0,0,Female,Caucasian,1
23,1,0,0,0,Female,Hispanic,0
28,1,0,0,0,Male,Caucasian,0
21,0,0,0,0,Female,African-American,1
36,0,0,0,0,Male,Caucasian,0
24,0,0,0,0,Male,African-American,0
30,1,0,0,0,Male,Other,1
29,0,0,0,0,Male,African-American,0
30,0,0,0,0,Female,Caucasian,0
51,1,0,0,0,Male,Hispanic,0
32,12,0,0,1,Male,African-American,1
23,1,1,0,0,Male,African-American,0
47,3,0,0,0,Male,African-American,0
37,0,0,0,0,Male,Caucasian,0
19,2,0,0,2,Male,African-American,1
27,0,0,0,0,Male,Hispanic,0
39,0,0,0,0,Male,Other,0
21,0,2,0,0,Female,Caucasian,0
69,0,0,0,0,Male,Caucasian,0
21,2,0,0,0,Male,Caucasian,0
26,6,1,0,0,Male,African-American,1
22,0,0,0,0,Male,Caucasian,0
23,0,0,0,0,Female,African-American,1
49,3,0,0,0,Male,African-American,0
29,2,1,0,0,Male,African-American,0
60,0,0,0,0,Female,Caucasian,0
23,3,0,2,0,Male,African-American,1
20,1,0,1,0,Female,Other,0
36,1,0,0,0,Male,Hispanic,0
30,0,0,0,0,Male,Caucasian,0
21,1,0,0,1,Male,African-American,0
22,2,0,0,0,Male,Caucasian,1
21,4,0,0,0,Male,African-American,1
21,0,0,0,0,Male,African-American,1
34,1,0,0,0,Male,Caucasian,0
50,1,0,0,0,Female,Caucasian,1
40,0,0,0,0,Male,Caucasian,1
25,7,0,0,0,Male,African-American,1
53,1,0,0,0,Female,Caucasian,0
24,0,0,0,0,Female,African-American,0
42,1,0,0,0,Male,African-American,0
28,1,0,0,0,Male,African-American,0
26,6,0,1,1,Male,African-American,1
22,4,0,0,0,Male,African-American,1
21,3,0,0,0,Male,Caucasian,0
37,23,0,0,0,Male,African-American,1
35,2,0,0,0,Male,African-American,0
53,2,0,0,0,Male,African-American,0
29,7,0,0,0,Male,African-American,0
48,23,0,1,0,Male,Caucasian,1
52,0,0,0,0,Female,Caucasian,0
27,12,0,0,0,Male,African-American,1
28,5,0,0,0,Male,African-American,0
33,3,0,0,0,Male,Caucasian,0
28,0,0,0,0,Female,Hispanic,0
36,14,0,0,0,Male,African-American,1
29,2,0,1,0,Male,African-American,0
22,0,1,0,0,Male,African-American,1
25,0,0,0,0,Male,Caucasian,0
56,5,0,0,0,Male,African-American,0
27,9,0,0,0,Male,African-American,1
52,4,0,0,0,Male,Caucasian,1
32,3,0,0,0,Male,African-American,0
60,4,0,0,0,Male,Other,0
23,1,0,0,0,Male,Hispanic,0
39,0,0,0,0,Female,Caucasian,0
56,0,0,0,0,Male,Caucasian,0
22,0,0,0,0,Female,African-American,0
53,11,0,0,0,Male,African-American,0
25,0,0,0,0,Male,Caucasian,1
21,0,0,0,0,Male,Hispanic,0
22,0,0,0,0,Male,Caucasian,0
58,2,0,0,0,Female,Caucasian,0
31,7,0,0,0,Male,African-American,1
22,1,0,0,0,Male,Caucasian,1
28,8,0,0,0,Male,African-American,1
42,1,0,0,0,Male,Other,0
20,0,0,0,0,Male,African-American,1
29,0,0,0,0,Male,Caucasian,1
58,21,0,0,0,Male,African-American,1
22,3,0,0,0,Male,African-American,0
48,1,0,0,0,Male,Hispanic,1
37,0,0,0,0,Male,Caucasian,0
57,1,0,0,0,Male,African-American,1
27,3,0,0,0,Male,Caucasian,0
26,3,0,0,0,Male,African-American,0
24,3,1,0,1,Male,Caucasian,1
33,0,0,0,0,Male,Caucasian,0
29,2,0,0,0,Male,African-American,0
24,3,0,0,0,Female,African-American,1
19,1,1,0,0,Male,Caucasian,1
36,2,0,0,0,Male,Caucasian,0
24,0,0,0,0,Female,Caucasian,0
34,0,0,0,0,Male,Caucasian,0
25,2,0,0,0,Male,Hispanic,1
20,1,1,1,0,Male,African-American,1
24,1,0,0,0,Male,African-American,1
61,4,0,0,0,Male,Caucasian,0
50,3,0,0,0,Female,African-American,0
30,1,0,0,0,Male,African-American,0
38,5,0,0,0,Male,African-American,0
24,0,0,0,0,Male,Caucasian,0
46,2,0,0,0,Female,African-American,1
41,0,0,0,0,Male,Caucasian,1
20,0,1,0,0,Male,Other,1
27,13,0,0,0,Male,African-American,1
26,1,0,0,0,Male,African-American,1
29,3,0,0,0,Male,African-American,1
52,6,0,0,0,Male,Caucasian,1
28,1,0,0,0,Male,Caucasian,1
55,5,0,0,0,Male,African-American,1
26,10,0,1,1,Male,African-American,1
28,5,0,0,0,Male,African-American,0
63,2,0,0,0,Male,Caucasian,0
42,0,0,0,0,Male,African-American,0
23,6,2,1,2,Male,African-American,0
54,28,0,0,0,Male,African-American,1
35,8,1,0,0,Male,African-American,1
24,6,0,1,0,Female,African-American,1
54,2,0,0,0,Male,African-American,0
58,12,0,0,0,Male,African-American,1
23,1,1,0,0,Male,Caucasian,1
35,1,0,0,0,Male,African-American,0
20,1,0,0,0,Male,African-American,1
51,0,0,0,0,Male,Caucasian,0
24,0,0,0,0,Male,Hispanic,0
37,3,0,0,0,Male,Caucasian,0
47,3,0,0,0,Male,Caucasian,0
34,4,0,0,0,Male,Caucasian,1
56,0,0,0,0,Male,Caucasian,0
34,4,0,0,0,Male,Hispanic,1
59,1,0,0,0,Male,Caucasian,1
35,0,0,0,0,Male,Asian,0
58,1,0,0,0,Male,Hispanic,0
29,2,0,0,0,Male,Hispanic,0
24,6,1,0,0,Female,Caucasian,1
21,2,4,0,0,Male,Caucasian,1
50,5,0,0,0,Male,Asian,1
26,1,0,0,0,Male,African-American,0
30,0,0,0,0,Female,Caucasian,0
29,0,0,0,0,Male,Caucasian,1
54,0,0,0,0,Male,African-American,0
29,4,0,0,0,Male,African-American,1
59,0,0,0,0,Female,Caucasian,0
38,0,0,0,0,Male,African-American,0
27,1,0,0,0,Male,Caucasian,1
26,7,0,0,0,Male,Hispanic,1
52,20,0,0,0,Male,Hispanic,0
66,33,0,0,0,Male,African-American,1
27,2,0,0,0,Male,Caucasian,0
51,1,0,0,0,Male,Caucasian,0
35,1,0,0,0,Male,Caucasian,0
52,4,0,0,0,Male,Caucasian,0
48,12,0,0,0,Male,Other,0
26,0,0,0,0,Female,African-American,0
48,0,0,0,0,Female,Caucasian,0
30,7,0,0,0,Male,Hispanic,0
28,2,0,0,0,Male,Other,0
33,2,0,0,0,Male,African-American,0
34,6,0,0,0,Female,African-American,0
25,0,0,0,0,Male,Other,0
59,10,0,0,0,Male,African-American,1
29,5,0,0,0,Male,African-American,1
24,0,0,0,0,Male,Caucasian,0
48,1,0,0,0,Male,Caucasian,1
52,4,0,0,0,Male,African-American,0
20,0,0,0,0,Male,African-American,1
25,4,0,0,0,Male,Caucasian,1
24,0,0,0,0,Male,Caucasian,0
23,0,0,0,0,Male,Caucasian,0
27,6,3,0,1,Male,Caucasian,0
25,1,0,0,1,Male,African-American,1
31,0,0,0,0,Male,African-American,0
25,6,0,0,1,Male,African-American,1
32,1,0,0,0,Male,Caucasian,1
21,0,0,0,0,Male,Caucasian,1
37,1,0,0,0,Male,Other,0
25,0,0,0,0,Male,Caucasian,0
32,20,0,1,1,Male,Hispanic,0
35,0,0,0,0,Male,African-American,0
42,14,0,0,0,Male,African-American,1
24,9,1,0,0,Male,Caucasian,1
21,0,0,0,0,Male,Hispanic,1
47,1,0,0,0,Male,Caucasian,0
27,5,0,0,0,Male,African-American,1
43,2,0,0,0,Male,Hispanic,1
46,2,0,0,0,Male,Caucasian,1
44,1,0,0,0,Male,African-American,0
23,2,0,0,0,Male,Caucasian,0
42,8,0,0,0,Male,African-American,0
58,6,0,0,0,Male,African-American,0
26,3,1,0,0,Male,African-American,0
48,0,0,0,0,Female,Other,0
39,3,0,0,0,Male,African-American,1
21,3,0,0,2,Male,African-American,1
63,1,0,0,0,Male,Caucasian,0
22,3,0,0,1,Male,African-American,1
50,3,0,0,0,Male,African-American,0
38,0,0,0,0,Male,African-American,0
41,1,0,0,0,Male,Caucasian,0
28,16,1,8,0,Male,African-American,1
30,0,0,0,0,Female,African-American,0
23,1,0,0,0,Male,African-American,0
25,2,0,0,0,Male,Caucasian,1
40,5,0,0,0,Male,Caucasian,0
24,8,0,0,0,Male,Hispanic,0
27,5,0,0,0,Male,African-American,1
44,11,0,0,0,Male,Caucasian,0
35,6,0,0,0,Female,African-American,1
42,0,0,0,0,Male,Caucasian,0
38,15,0,0,0,Male,African-American,0
26,4,0,0,0,Male,Hispanic,0
25,0,0,0,0,Female,African-American,0
64,1,0,0,0,Male,Hispanic,0
49,2,0,0,0,Female,Caucasian,1
50,5,0,0,0,Male,Caucasian,1
66,0,0,0,0,Male,Caucasian,1
46,0,0,0,0,Female,Caucasian,0
30,5,1,0,0,Male,African-American,1
22,0,0,0,0,Female,Caucasian,0
23,1,0,0,0,Male,Caucasian,0
30,0,0,0,0,Male,Other,1
31,0,0,0,0,Male,Hispanic,0
31,1,0,0,0,Male,Other,0
25,0,0,0,0,Male,African-American,0
21,0,0,0,0,Female,Caucasian,0
27,0,0,0,0,Male,African-American,0
20,0,0,0,0,Male,Hispanic,1
32,1,0,0,0,Male,Hispanic,0
24,0,1,0,0,Female,Caucasian,0
20,1,0,1,0,Male,African-American,0
31,3,0,0,0,Male,African-American,1
27,3,0,0,0,Male,African-American,1
40,0,0,0,0,Male,African-American,0
22,11,0,0,0,Male,African-American,1
38,1,0,0,0,Female,African-American,0
36,1,0,0,0,Male,Hispanic,1
30,1,0,0,0,Male,African-American,0
27,6,0,0,0,Male,Caucasian,1
59,0,0,0,0,Female,Caucasian,0
37,2,0,0,0,Male,Caucasian,0
28,5,0,0,0,Male,African-American,1
38,0,0,0,0,Male,Caucasian,0
22,0,1,0,0,Male,African-American,1
25,4,0,0,0,Male,African-American,1
51,0,0,0,0,Male,Caucasian,0
29,2,0,0,0,Male,Caucasian,1
28,10,0,0,0,Male,African-American,0
55,9,0,0,0,Male,African-American,1
23,3,0,0,0,Female,Caucasian,0
22,0,0,0,0,Female,African-American,0
19,2,0,0,0,Female,Caucasian,1
31,1,0,0,0,Male,African-American,0
29,0,0,0,0,Male,African-American,0
61,15,0,0,0,Male,African-American,1
31,0,0,0,0,Male,Hispanic,0
20,4,1,0,1,Male,African-American,1
26,3,0,0,0,Male,Caucasian,1
27,5,0,0,0,Male,Caucasian,0
25,1,0,0,0,Male,Caucasian,0
23,3,0,0,2,Male,Caucasian,1
38,0,0,0,0,Male,African-American,0
27,18,1,0,2,Male,African-American,1
35,0,0,0,0,Female,Caucasian,1
22,0,0,0,0,Male,Other,0
58,4,0,0,0,Female,African-American,1
57,0,0,0,0,Female,Caucasian,1
21,0,1,0,0,Male,African-American,0
22,0,0,0,0,Female,African-American,0
30,0,0,0,0,Male,African-American,0
30,8,0,0,0,Male,African-American,1
31,10,0,0,0,Female,African-American,0
45,1,0,0,0,Female,Caucasian,0
39,2,0,0,0,Male,Caucasian,1
31,0,0,0,0,Male,African-American,1
22,1,0,0,0,Male,African-American,1
27,13,0,0,0,Male,African-American,1
38,1,0,0,0,Male,Caucasian,1
31,23,0,0,0,Male,African-American,1
47,20,0,0,0,Male,African-American,0
22,3,0,0,1,Male,African-American,0
35,1,1,0,0,Male,African-American,1
23,2,0,0,0,Male,Hispanic,1
65,2,0,0,0,Male,African-American,1
35,0,0,0,0,Male,African-American,0
33,0,0,0,0,Female,African-American,0
53,1,0,0,0,Male,Caucasian,0
52,0,0,0,0,Male,Hispanic,0
21,0,0,0,0,Male,African-American,0
37,11,0,0,0,Male,African-American,0
30,4,0,0,0,Male,Other,1
54,0,0,0,0,Male,Other,0
31,0,0,0,0,Female,African-American,0
59,2,0,0,0,Female,Caucasian,0
27,0,0,0,0,Male,African-American,0
36,0,0,0,0,Male,African-American,1
46,17,0,0,0,Male,African-American,1
22,3,1,0,0,Male,African-American,0
28,0,0,0,0,Female,Caucasian,0
34,15,1,0,0,Female,Caucasian,1
29,7,0,0,0,Male,Hispanic,1
23,2,1,0,0,Male,African-American,1
27,3,0,0,0,Male,African-American,0
21,0,1,0,0,Male,Asian,1
48,3,0,0,0,Male,Caucasian,1
31,5,0,0,0,Male,African-American,0
36,4,0,0,1,Male,African-American,0
44,14,0,0,0,Male,African-American,1
53,2,0,0,0,Male,Caucasian,0
33,3,0,0,0,Male,African-American,1
47,2,0,0,0,Male,Caucasian,1
57,20,0,0,0,Male,African-American,1
28,2,0,0,0,Male,African-American,0
24,1,0,0,0,Male,African-American,0
44,1,0,0,0,Male,African-American,0
46,0,0,0,0,Male,African-American,0
37,6,0,0,0,Male,African-American,0
26,10,0,0,0,Male,African-American,1
27,10,0,0,1,Male,African-American,1
40,1,0,0,0,Male,Caucasian,0
60,9,0,0,0,Female,Caucasian,1
53,1,0,0,0,Male,Caucasian,0
28,0,0,0,0,Male,African-American,0
23,0,0,0,0,Male,Hispanic,0
46,2,0,0,0,Female,Caucasian,0
23,0,0,0,0,Male,African-American,1
50,18,0,0,0,Male,African-American,1
45,0,0,0,0,Male,African-American,0
22,1,0,0,0,Male,African-American,0
26,1,0,0,0,Male,Caucasian,1
62,0,0,0,0,Male,Caucasian,0
34,0,0,0,0,Male,Caucasian,1
24,1,0,0,0,Male,Hispanic,0
21,0,0,0,0,Male,Caucasian,0
25,0,0,0,0,Male,Caucasian,1
68,0,0,0,0,Male,Caucasian,0
21,1,0,0,0,Male,Caucasian,0
37,1,0,0,0,Female,Hispanic,0
22,0,0,0,0,Male,African-American,0
42,1,0,0,0,Male,Caucasian,0
22,1,1,0,1,Male,Caucasian,1
45,0,0,0,0,Male,African-American,1
36,4,0,0,0,Female,African-American,1
48,2,0,0,0,Male,African-American,0
23,6,1,0,0,Male,African-American,1
24,0,0,0,0,Male,African-American,0
29,0,0,0,0,Male,African-American,0
24,0,0,0,0,Male,African-American,0
50,11,0,0,0,Male,African-American,0
34,10,0,0,1,Male,African-American,1
23,0,0,0,0,Male,African-American,0
22,0,0,0,0,Female,Caucasian,0
36,0,0,0,0,Male,Other,0
30,22,0,0,0,Male,Caucasian,1
21,0,0,0,0,Male,African-American,1
53,0,0,0,0,Female,Caucasian,0
25,7,1,0,1,Male,African-American,1
25,1,0,0,0,Female,African-American,0
71,8,0,0,0,Male,African-American,0
39,10,0,0,4,Male,African-American,0
37,0,0,0,0,Female,African-American,0
20,0,2,0,0,Male,African-American,1
29,3,0,0,0,Female,African-American,0
22,2,0,0,0,Male,African-American,1
26,4,0,0,0,Male,African-American,1
47,19,0,0,0,Female,African-American,1
21,1,0,0,0,Male,Other,1
23,0,0,0,0,Female,Other,0
20,1,0,0,0,Female,Caucasian,1
23,0,0,0,0,Female,African-American,0
27,3,0,0,0,Male,Native American,0
53,0,0,0,0,Female,African-American,0
23,0,0,0,0,Female,African-American,0
26,5,1,0,0,Male,African-American,1
25,6,0,0,0,Male,African-American,0
23,2,0,0,0,Male,Other,0
27,4,0,0,0,Male,African-American,1
29,1,0,0,0,Male,African-American,0
27,1,0,0,0,Male,Other,1
28,0,0,0,0,Male,Hispanic,0
31,0,0,0,0,Male,African-American,0
41,8,0,0,0,Male,African-American,1
25,0,0,0,0,Male,Caucasian,0
47,0,0,0,0,Male,Caucasian,0
37,4,0,0,0,Male,African-American,0
35,4,0,0,0,Female,African-American,0
24,1,0,0,0,Male,Caucasian,1
21,2,1,0,2,Male,Caucasian,1
22,0,0,0,0,Male,Caucasian,1
57,11,0,0,0,Male,African-American,0
48,0,0,0,0,Male,Caucasian,0
36,0,0,0,0,Male,Other,0
37,3,0,0,0,Female,African-American,0
31,0,0,0,0,Male,Caucasian,0
22,1,0,0,1,Male,African-American,1
31,2,0,0,0,Male,Caucasian,0
24,0,0,0,0,Male,African-American,1
32,22,1,0,0,Male,African-American,1
23,0,0,0,0,Female,Other,0
63,0,0,0,0,Male,African-American,0
30,0,0,0,0,Male,Other,0
20,0,2,0,0,Male,Caucasian,0
24,1,0,0,0,Female,African-American,1
36,1,0,0,0,Female,African-American,0
83,0,0,0,0,Male,Hispanic,0
28,2,0,0,0,Male,Caucasian,0
36,3,0,0,0,Male,African-American,1
33,0,0,0,0,Female,African-American,0
39,0,0,0,0,Male,African-American,0
29,3,0,0,0,Male,Other,0
30,17,0,0,0,Male,African-American,1
24,1,0,0,0,Male,African-American,1
35,7,0,0,0,Male,African-American,0
24,0,1,0,0,Male,African-American,0
26,8,0,0,0,Male,Caucasian,0
28,14,0,0,0,Male,African-American,1
32,0,0,0,0,Male,African-American,0
32,1,0,0,0,Female,Caucasian,1
33,5,0,0,0,Male,African-American,1
29,16,0,0,1,Male,African-American,0
34,1,0,0,0,Male,Caucasian,1
37,0,0,0,0,Female,Other,1
43,0,0,0,0,Male,Caucasian,0
47,2,0,0,0,Male,Caucasian,0
25,3,0,0,0,Male,African-American,1
23,1,0,0,0,Female,African-American,0
39,2,0,0,0,Male,Caucasian,0
